post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","the user have not generated a ssh public/private key pair set before ?
This info is working on theChaw but can be applied to all other git repositories which support SSH pubkey authentications. (See gitolite, gitlab or github for example.)

First start by setting up your own public/private key pair set. This
  can use either DSA or RSA, so basically any key you setup will work.
  On most systems you can use ssh-keygen.

First you'll want to cd into your .ssh directory. Open up the terminal and run:
  
  
cd ~/.ssh && ssh-keygen

Next you need to copy this to your clipboard.
  
  
On OS X run: cat id_rsa.pub | pbcopy 
On Linux run: cat id_rsa.pub | xclip
On Windows (via Cygwin/Git Bash) run: cat id_rsa.pub | clip

Add your key to your account via the website.
Finally setup your .gitconfig.
  
  
git config --global user.name ""bob""
git config --global user.email bob@...
  (don't forget to restart your command line to make sure the config is reloaded)


Thats it you should be good to clone and checkout.

Further information can be found on https://help.github.com/articles/generating-ssh-keys (thanks to @Lee Whitney)
 -
the user have generated a ssh public/private key pair set before ?

check which key have been authorized on your github or gitlab account settings
tells which corresponding private key must be associated from your local computer

eval $(ssh-agent -s)
tell where the keys are located 
ssh-add ~/.ssh/id_rsa
","881060","<git><ssh><ssh-keys><public-key>","576","697","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","More extensive troubleshooting and even  automated fixing can be done with: 
ssh -vT git@github.com

Source: https://help.github.com/articles/error-permission-denied-publickey/
","881060","<git><ssh><ssh-keys><public-key>","576","204","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","The basic GIT instructions did not make a reference to the SSH key stuff. Following some of the links above, I found a git help page that explains, step-by-step, exactly how to do this for various operating systems (the link will detect your OS and redirect, accordingly):
http://help.github.com/set-up-git-redirect/
It walks through everything needed for GITHub and also gives detailed explanations such as ""why add a passphrase when creating an RSA key."" I figured I'd post it, in case it helps someone else...
","881060","<git><ssh><ssh-keys><public-key>","576","5","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","Use the ssh link from Github but make sure to not append it with ssh just use what the ssh tab on git hub gives you to clone your repo.
","881060","<git><ssh><ssh-keys><public-key>","576","0","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","On Windows, make sure all your apps agree on HOME.  Msys will surprisingly NOT do it for you. I had to set an environment variable because ssh and git couldn't seem to agree on where my .ssh directory was.
","881060","<git><ssh><ssh-keys><public-key>","576","5","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","Note that (at least for some projects) you must have a github account with an ssh key.
Look at the keys listed in your authentication agent (ssh-add -l)
  (if you don't see any, add one of your existing keys with ssh-add /path/to/your/key (eg: ssh-add ~/.ssh/id_rsa))
  (if you don't have any keys, first create one. See: http://rcsg-gsir.imsb-dsgi.nrc-cnrc.gc.ca/documents/internet/node31.html or just google ssh-keygen)
To verify that you have a key associated with your github account:
Go to: https://github.com/settings/ssh
You should see at least one key with a hash key matching one of the hashes you saw when you typed ssh-add -l just a minute ago.
If you don't, add one, then try again.
","881060","<git><ssh><ssh-keys><public-key>","576","19","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","This error can happen when you are accessing the SSH URL (Read/Write) instead of Git Read-Only URL but you have no write access to that repo.
Sometimes you just want to clone your own repo, e.g. deploy to a server. In this case you actually only need READ-ONLY access. But since that's your own repo, GitHub may display SSH URL if that's your preference. In this situation, if your remote host's public key is not in your GitHub SSH Keys, your access will be denied, which is expected to happen.
An equivalent case is when you try cloning someone else's repo to which you have no write access with SSH URL.
In a word, if your intent is to clone-only a repo, use HTTPS URL (https://github.com/{user_name}/{project_name}.git) instead of SSH URL (git@github.com:{user_name}/{project_name}.git), which avoids (unnecessary) public key validation.

Update: GitHub is displaying HTTPS as the default protocol now and this move can probably reduce possible misuse of SSH URLs.
","881060","<git><ssh><ssh-keys><public-key>","576","151","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","I was getting a similar Permission denied (publickey) error when trying to run a makefile.
As an alternative to the SSH steps above, you can Install the native GitHub for Mac application.
Click Download GitHub for Mac from - https://help.github.com/articles/set-up-git#platform-mac
Once you complete setup with your git hub account (I also installed the git hub command line tools but unsure if this step is required or not) then I received an email -
[GitHub] A new public key was added to your account
and my error was fixed.
","881060","<git><ssh><ssh-keys><public-key>","576","1","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","One of the easiest way 
go to terminal-
  git push <Git Remote path> --all

","881060","<git><ssh><ssh-keys><public-key>","576","4","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","I had a slight different situation, I was logged on to a remote server and was using git on the server, when I ran any git command I got the same message
   Permission denied (publickey).
   fatal: The remote end hung up unexpectedly

The way I fixed it was by changing the file /etc/ssh_config on my Mac. 
from
ForwardAgent no 

to 
ForwardAgent yes

","881060","<git><ssh><ssh-keys><public-key>","576","13","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","Are you in a corporate environment?  Is it possible that your system variables have recently changed?  Per this SO answer, ssh keys live at %HOMEDRIVE%%HOMEPATH%\.ssh\id_rsa.pub.  So if %HOMEDRIVE% recently changed, git doesn't know where to look for your key, and thus all of the authentication stuff.  
Try running ssh -vT git@github.com.  Take note of where the identity file is located.  For me, that was pointing not to my normal \Users\MyLogin but rather to a network drive, because of a change to environment variables pushed at the network level.
The solution?  Since my new %HOMEDRIVE% has the same permissions as my local files, I just moved my .ssh folder there, and called it a day.
","881060","<git><ssh><ssh-keys><public-key>","576","5","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","In addition to Rufinus' reply, the shortcut to copy your ssh key to the clipboard in Windows is:

type id_rsa.pub | clip

Refs:

Print to standard output
Copy command line output to clipboard

","881060","<git><ssh><ssh-keys><public-key>","576","3","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","I was getting the same error. My problem was mixing in sudo.  
I couldn't create the directory I was cloning into automatically without prefixing the git clone command with sudo.  When I did that, however, my ssh keys where not being properly referenced.  
To fix it, I set permissions via chmod on the parent directory I wanted to contain my clone so I could write to it.  Then I ran git clone WITHOUT a sudo prefix.  It then worked!  I changed the permissions back after that. Done.
","881060","<git><ssh><ssh-keys><public-key>","576","1","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","The github help link helped me sort out this problem. Looks like the ssh key was not added to the ssh-agent. This is what i ended up doing. 
Command 1:
Ensure ssh-agent is enabled. The command starts the ssh-agent in the background:
eval ""$(ssh-agent -s)""

Command 2:
Add your SSH key to the ssh-agent:
ssh-add ~/.ssh/id_rsa

","881060","<git><ssh><ssh-keys><public-key>","576","95","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","I have just experienced this issue while setting my current project, and none of the above solution works. so i tried looking what's really happening on the debug list using the command ssh -vT git@github.com. I notice that my private key filename is not on the list. so renaming the private key filename to 'id_rsa' do the job. hope this could help.
","881060","<git><ssh><ssh-keys><public-key>","576","2","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","I was getting this error because I generated the ssh keys with the wrong email. I was able to connect using ssh, but not using git. The solution was to regenerate the keys using the main email address of my github account.
","881060","<git><ssh><ssh-keys><public-key>","576","1","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
"2643502","How to solve Permission denied (publickey) error when using Git?","I'm on Mac Snow Leopard and I just installed git.
I just tried 
git clone git@thechaw.com:cakebook.git

but that gives me this error:
Initialized empty Git repository in `/Users/username/Documents/cakebook/.git/`
Permission denied (publickey).
fatal: The remote end hung up unexpectedly

What am I missing?
I've also tried doing ssh-keygen with no passphase but still same error.
","It worked for me.
Your public key is saved to the id_rsa.pub;file and is the key you upload to your account. You can save this key to the clipboard by running this:

pbcopy < ~/.ssh/id_rsa.pub


copy the SSH key to the clipboard, return to the web portal.
In the SSH Key field, paste your SSH key.
In the Name field, provide a name for the key.
save .

","881060","<git><ssh><ssh-keys><public-key>","576","1","37","2019-08-22 20:30:29","2643584","2","220","4802075","","2018-11-19 09:57:18","2010-04-15 07:46:34",""
